Entidad_Federativa,Diésel,Año_Reporte,Mes
San Luis Potosí,16.82,2017,10
San Luis Potosí,16.94,2017,11
San Luis Potosí,17.12,2017,12
San Luis Potosí,17.68,2018,1
San Luis Potosí,18.45,2018,2
San Luis Potosí,18.69,2018,3
San Luis Potosí,18.76,2018,4
San Luis Potosí,18.9,2018,5
San Luis Potosí,19.13,2018,6
San Luis Potosí,19.51,2018,7
San Luis Potosí,20.03,2018,8
San Luis Potosí,20.3,2018,9
San Luis Potosí,20.6,2018,10
San Luis Potosí,20.79,2018,11
San Luis Potosí,20.65,2018,12
San Luis Potosí,20.61,2019,1
San Luis Potosí,21.53,2019,2
San Luis Potosí,21.31,2019,3
San Luis Potosí,20.99,2019,4
San Luis Potosí,20.92,2019,5
San Luis Potosí,20.73,2019,6
San Luis Potosí,20.81,2019,7
San Luis Potosí,20.79,2019,8
San Luis Potosí,20.92,2019,9
San Luis Potosí,20.82,2019,10
San Luis Potosí,20.86,2019,11
San Luis Potosí,21.01,2019,12
San Luis Potosí,21.11,2020,1
San Luis Potosí,20.78,2020,2
San Luis Potosí,19.85,2020,3
San Luis Potosí,18.56,2020,4
San Luis Potosí,18.28,2020,5
Sinaloa,17.23,2017,1
Sinaloa,17.23,2017,2
Sinaloa,17.09,2017,3
Sinaloa,17.03,2017,4
Sinaloa,16.91,2017,5
Sinaloa,16.73,2017,6
Sinaloa,16.6,2017,7
Sinaloa,16.66,2017,8
Sinaloa,16.91,2017,9
Sinaloa,17.1,2017,10
Sinaloa,17.26,2017,11
Sinaloa,17.45,2017,12
Sinaloa,18.02,2018,1
Sinaloa,18.63,2018,2
Sinaloa,18.9,2018,3
Sinaloa,19.05,2018,4
Sinaloa,19.23,2018,5
Sinaloa,19.48,2018,6
Sinaloa,19.82,2018,7
Sinaloa,20.33,2018,8
Sinaloa,20.6,2018,9
Sinaloa,20.89,2018,10
Sinaloa,21.06,2018,11
Sinaloa,21.01,2018,12
Sinaloa,20.95,2019,1
Sinaloa,21.58,2019,2
Sinaloa,21.85,2019,3
Sinaloa,21.9,2019,4
Sinaloa,21.84,2019,5
Sinaloa,21.62,2019,6
Sinaloa,21.76,2019,7
Sinaloa,21.72,2019,8
Sinaloa,21.76,2019,9
Sinaloa,21.72,2019,10
Sinaloa,21.73,2019,11
Sinaloa,21.85,2019,12
Sinaloa,21.87,2020,1
Sinaloa,21.55,2020,2
Sinaloa,20.84,2020,3
Sinaloa,19.83,2020,4
Sinaloa,19.31,2020,5
Sonora,17.26,2017,1
Sonora,17.3,2017,2
Sonora,17.16,2017,3
Sonora,17.1,2017,4
Sonora,16.98,2017,5
Sonora,16.83,2017,6
Sonora,16.71,2017,7
Sonora,16.76,2017,8
Sonora,16.99,2017,9
Sonora,17.19,2017,10
Sonora,17.34,2017,11
Sonora,17.51,2017,12
Sonora,17.99,2018,1
Sonora,18.51,2018,2
Sonora,18.71,2018,3
Sonora,18.83,2018,4
Sonora,18.97,2018,5
Sonora,19.21,2018,6
Sonora,19.61,2018,7
Sonora,20.14,2018,8
Sonora,20.42,2018,9
Sonora,20.73,2018,10
Sonora,20.91,2018,11
Sonora,20.86,2018,12
Sonora,20.62,2019,1
Sonora,21.44,2019,2
Sonora,21.7,2019,3
Sonora,21.42,2019,4
Sonora,21.34,2019,5
Sonora,21.24,2019,6
Sonora,21.36,2019,7
Sonora,21.28,2019,8
Sonora,21.32,2019,9
Sonora,21.37,2019,10
Sonora,21.12,2019,11
Sonora,21.33,2019,12
Sonora,21.36,2020,1
Sonora,21.22,2020,2
Sonora,20.7,2020,3
Sonora,19.75,2020,4
Sonora,19.18,2020,5
Tabasco,16.66,2017,1
Tabasco,16.65,2017,2
Tabasco,16.53,2017,3
Tabasco,16.46,2017,4
Tabasco,16.35,2017,5
Tabasco,16.17,2017,6
Tabasco,16.05,2017,7
Tabasco,16.1,2017,8
Tabasco,16.36,2017,9
Tabasco,16.54,2017,10
Tabasco,16.65,2017,11
Tabasco,16.78,2017,12
Tabasco,17.34,2018,1
Tabasco,18,2018,2
Tabasco,18.27,2018,3
Tabasco,18.4,2018,4
Tabasco,18.51,2018,5
Tabasco,18.76,2018,6
Tabasco,19.09,2018,7
Tabasco,19.56,2018,8
Tabasco,19.81,2018,9
Tabasco,20.06,2018,10
Tabasco,20.2,2018,11
Tabasco,20.1,2018,12
Tabasco,19.96,2019,1
Tabasco,20.57,2019,2
Tabasco,20.74,2019,3
Tabasco,20.48,2019,4
Tabasco,20.35,2019,5
Tabasco,20.17,2019,6
Tabasco,20.2,2019,7
Tabasco,20.11,2019,8
Tabasco,20.22,2019,9
Tabasco,20.11,2019,10
Tabasco,20.08,2019,11
Tabasco,20.18,2019,12
Tabasco,20.3,2020,1
Tabasco,20.16,2020,2
Tabasco,19.78,2020,3
Tabasco,18.86,2020,4
Tabasco,18.53,2020,5
Tamaulipas,16.87,2017,1
Tamaulipas,16.94,2017,2
Tamaulipas,16.79,2017,3
Tamaulipas,16.72,2017,4
Tamaulipas,16.59,2017,5
Tamaulipas,16.43,2017,6
Tamaulipas,16.29,2017,7
Tamaulipas,16.31,2017,8
Tamaulipas,16.54,2017,9
Tamaulipas,16.74,2017,10
Tamaulipas,16.87,2017,11
Tamaulipas,17.05,2017,12
Tamaulipas,17.56,2018,1
Tamaulipas,18.2,2018,2
Tamaulipas,18.44,2018,3
Tamaulipas,18.52,2018,4
Tamaulipas,18.66,2018,5
Tamaulipas,18.9,2018,6
Tamaulipas,19.31,2018,7
Tamaulipas,19.82,2018,8
Tamaulipas,20.14,2018,9
Tamaulipas,20.43,2018,10
Tamaulipas,20.59,2018,11
Tamaulipas,20.47,2018,12
Tamaulipas,20.18,2019,1
Tamaulipas,21.09,2019,2
Tamaulipas,21.15,2019,3
Tamaulipas,20.7,2019,4
Tamaulipas,20.61,2019,5
Tamaulipas,20.45,2019,6
Tamaulipas,20.5,2019,7
Tamaulipas,20.45,2019,8
Tamaulipas,20.5,2019,9
Tamaulipas,20.32,2019,10
Tamaulipas,20.3,2019,11
Tamaulipas,20.63,2019,12
Tamaulipas,20.65,2020,1
Tamaulipas,20.48,2020,2
Tamaulipas,19.85,2020,3
Tamaulipas,18.97,2020,4
Tamaulipas,18.63,2020,5
Tlaxcala,16.86,2017,1
Tlaxcala,16.9,2017,2
Tlaxcala,16.74,2017,3
Tlaxcala,16.67,2017,4
Tlaxcala,16.55,2017,5
Tlaxcala,16.37,2017,6
Tlaxcala,16.25,2017,7
Tlaxcala,16.3,2017,8
Tlaxcala,16.55,2017,9
Tlaxcala,16.74,2017,10
Tlaxcala,16.86,2017,11
Tlaxcala,16.96,2017,12
Tlaxcala,17.5,2018,1
Tlaxcala,18.23,2018,2
Tlaxcala,18.48,2018,3
Tlaxcala,18.57,2018,4
Tlaxcala,18.69,2018,5
Tlaxcala,18.91,2018,6
Tlaxcala,19.3,2018,7
Tlaxcala,19.82,2018,8
Tlaxcala,20.07,2018,9
Tlaxcala,20.38,2018,10
Tlaxcala,20.58,2018,11
Tlaxcala,20.41,2018,12
Tlaxcala,20.39,2019,1
Tlaxcala,21.37,2019,2
Tlaxcala,21.36,2019,3
Tlaxcala,21.09,2019,4
Tlaxcala,20.99,2019,5
Tlaxcala,20.78,2019,6
Tlaxcala,20.86,2019,7
Tlaxcala,20.87,2019,8
Tlaxcala,20.91,2019,9
Tlaxcala,20.88,2019,10
Tlaxcala,20.86,2019,11
Tlaxcala,20.98,2019,12
Tlaxcala,21.06,2020,1
Tlaxcala,20.61,2020,2
Tlaxcala,19.55,2020,3
Tlaxcala,18.24,2020,4
Tlaxcala,17.65,2020,5
Veracruz,16.61,2017,1
Veracruz,16.65,2017,2
Veracruz,16.5,2017,3
Veracruz,16.43,2017,4
Veracruz,16.31,2017,5
Veracruz,16.13,2017,6
Veracruz,16,2017,7
Veracruz,16.06,2017,8
Veracruz,16.31,2017,9
Veracruz,16.5,2017,10
Veracruz,16.62,2017,11
Veracruz,16.76,2017,12
Veracruz,17.29,2018,1
Veracruz,17.96,2018,2
Veracruz,18.21,2018,3
Veracruz,18.31,2018,4
Veracruz,18.46,2018,5
Veracruz,18.67,2018,6
Veracruz,19,2018,7
Veracruz,19.52,2018,8
Veracruz,19.79,2018,9
Veracruz,20.07,2018,10
Veracruz,20.24,2018,11
Veracruz,20.1,2018,12
Veracruz,20.03,2019,1
Veracruz,20.82,2019,2
Veracruz,21.04,2019,3
Veracruz,20.84,2019,4
Veracruz,20.76,2019,5
Veracruz,20.58,2019,6
Veracruz,20.63,2019,7
Veracruz,20.59,2019,8
Veracruz,20.62,2019,9
Veracruz,20.6,2019,10
Veracruz,20.55,2019,11
Veracruz,20.67,2019,12
Veracruz,20.8,2020,1
Veracruz,20.59,2020,2
Veracruz,19.67,2020,3
Veracruz,18.5,2020,4
Veracruz,18.14,2020,5
Yucatán,16.52,2017,1
Yucatán,16.49,2017,2
Yucatán,16.38,2017,3
Yucatán,16.32,2017,4
Yucatán,16.2,2017,5
Yucatán,16.02,2017,6
Yucatán,15.9,2017,7
Yucatán,15.95,2017,8
Yucatán,16.19,2017,9
Yucatán,16.38,2017,10
Yucatán,16.5,2017,11
Yucatán,16.64,2017,12
Yucatán,17.22,2018,1
Yucatán,17.88,2018,2
Yucatán,18.18,2018,3
Yucatán,18.28,2018,4
Yucatán,18.41,2018,5
Yucatán,18.65,2018,6
Yucatán,19.09,2018,7
Yucatán,19.74,2018,8
Yucatán,20.02,2018,9
Yucatán,20.22,2018,10
Yucatán,20.36,2018,11
Yucatán,20.25,2018,12
Yucatán,20.2,2019,1
Yucatán,21.38,2019,2
Yucatán,21.38,2019,3
Yucatán,20.96,2019,4
Yucatán,20.84,2019,5
Yucatán,20.6,2019,6
Yucatán,20.88,2019,7
Yucatán,20.93,2019,8
Yucatán,21.07,2019,9
Yucatán,20.92,2019,10
Yucatán,20.97,2019,11
Yucatán,21.14,2019,12
Yucatán,21.35,2020,1
Yucatán,20.97,2020,2
Yucatán,20.08,2020,3
Yucatán,19.47,2020,4
Yucatán,19.4,2020,5
Zacatecas,17.26,2017,1
Zacatecas,17.31,2017,2
Zacatecas,17.15,2017,3
Zacatecas,17.09,2017,4
Zacatecas,16.97,2017,5
Zacatecas,16.8,2017,6
Zacatecas,16.67,2017,7
Zacatecas,16.72,2017,8
Zacatecas,16.97,2017,9
Zacatecas,17.17,2017,10
Zacatecas,17.28,2017,11
Zacatecas,17.5,2017,12
Zacatecas,18.19,2018,1
Zacatecas,19.05,2018,2
Zacatecas,19.32,2018,3
Zacatecas,19.41,2018,4
Zacatecas,19.53,2018,5
Zacatecas,19.73,2018,6
Zacatecas,20.1,2018,7
Zacatecas,20.62,2018,8
Zacatecas,20.91,2018,9
Zacatecas,21.18,2018,10
Zacatecas,21.33,2018,11
Zacatecas,21.22,2018,12
Zacatecas,21.26,2019,1
Zacatecas,21.92,2019,2
Zacatecas,21.79,2019,3
Zacatecas,21.44,2019,4
Zacatecas,21.36,2019,5
Zacatecas,21.18,2019,6
Zacatecas,21.27,2019,7
Zacatecas,21.24,2019,8
Zacatecas,21.31,2019,9
Zacatecas,21.26,2019,10
Zacatecas,21.25,2019,11
Zacatecas,21.44,2019,12
Zacatecas,21.48,2020,1
Zacatecas,21.2,2020,2
Zacatecas,20.47,2020,3
Zacatecas,19.24,2020,4
Zacatecas,18.82,2020,5
