Entidad_Federativa,Gasolina_Min_91octanos,Año_Reporte,Mes
Sinaloa,18.76,2020,5
Sonora,17.92,2017,1
Sonora,17.97,2017,2
Sonora,17.62,2017,3
Sonora,17.5,2017,4
Sonora,17.41,2017,5
Sonora,17.28,2017,6
Sonora,17.17,2017,7
Sonora,17.25,2017,8
Sonora,17.48,2017,9
Sonora,17.59,2017,10
Sonora,17.71,2017,11
Sonora,17.84,2017,12
Sonora,18.19,2018,1
Sonora,18.7,2018,2
Sonora,18.87,2018,3
Sonora,18.97,2018,4
Sonora,19.17,2018,5
Sonora,19.35,2018,6
Sonora,19.73,2018,7
Sonora,20.23,2018,8
Sonora,20.45,2018,9
Sonora,20.66,2018,10
Sonora,20.69,2018,11
Sonora,20.5,2018,12
Sonora,19.69,2019,1
Sonora,19.94,2019,2
Sonora,20.63,2019,3
Sonora,20.89,2019,4
Sonora,20.94,2019,5
Sonora,20.92,2019,6
Sonora,20.74,2019,7
Sonora,20.82,2019,8
Sonora,21,2019,9
Sonora,21.04,2019,10
Sonora,20.56,2019,11
Sonora,20.53,2019,12
Sonora,20.33,2020,1
Sonora,20.38,2020,2
Sonora,19.79,2020,3
Sonora,17.49,2020,4
Sonora,18.02,2020,5
Tabasco,17.36,2017,1
Tabasco,17.35,2017,2
Tabasco,17.26,2017,3
Tabasco,17.25,2017,4
Tabasco,17.18,2017,5
Tabasco,17.05,2017,6
Tabasco,16.94,2017,7
Tabasco,17.02,2017,8
Tabasco,17.27,2017,9
Tabasco,17.36,2017,10
Tabasco,17.46,2017,11
Tabasco,17.57,2017,12
Tabasco,18.05,2018,1
Tabasco,18.58,2018,2
Tabasco,18.78,2018,3
Tabasco,18.88,2018,4
Tabasco,18.96,2018,5
Tabasco,19.2,2018,6
Tabasco,19.56,2018,7
Tabasco,20.03,2018,8
Tabasco,20.23,2018,9
Tabasco,20.43,2018,10
Tabasco,20.39,2018,11
Tabasco,20.13,2018,12
Tabasco,19.36,2019,1
Tabasco,18.84,2019,2
Tabasco,19.71,2019,3
Tabasco,19.96,2019,4
Tabasco,19.92,2019,5
Tabasco,19.89,2019,6
Tabasco,19.93,2019,7
Tabasco,19.93,2019,8
Tabasco,19.97,2019,9
Tabasco,19.91,2019,10
Tabasco,19.75,2019,11
Tabasco,19.75,2019,12
Tabasco,19.69,2020,1
Tabasco,19.51,2020,2
Tabasco,18.83,2020,3
Tabasco,16.38,2020,4
Tabasco,16.32,2020,5
Tamaulipas,17.06,2017,1
Tamaulipas,17.1,2017,2
Tamaulipas,16.46,2017,3
Tamaulipas,16.16,2017,4
Tamaulipas,16.06,2017,5
Tamaulipas,15.84,2017,6
Tamaulipas,15.67,2017,7
Tamaulipas,15.74,2017,8
Tamaulipas,15.97,2017,9
Tamaulipas,16.06,2017,10
Tamaulipas,16.16,2017,11
Tamaulipas,16.25,2017,12
Tamaulipas,16.68,2018,1
Tamaulipas,17.21,2018,2
Tamaulipas,17.32,2018,3
Tamaulipas,17.43,2018,4
Tamaulipas,17.72,2018,5
Tamaulipas,17.82,2018,6
Tamaulipas,18.11,2018,7
Tamaulipas,18.68,2018,8
Tamaulipas,18.93,2018,9
Tamaulipas,19.16,2018,10
Tamaulipas,19.05,2018,11
Tamaulipas,18.72,2018,12
Tamaulipas,17.93,2019,1
Tamaulipas,17.86,2019,2
Tamaulipas,18.53,2019,3
Tamaulipas,18.5,2019,4
Tamaulipas,18.3,2019,5
Tamaulipas,18.21,2019,6
Tamaulipas,18.26,2019,7
Tamaulipas,18.04,2019,8
Tamaulipas,18.2,2019,9
Tamaulipas,18.14,2019,10
Tamaulipas,17.93,2019,11
Tamaulipas,18.19,2019,12
Tamaulipas,18.36,2020,1
Tamaulipas,18.06,2020,2
Tamaulipas,16.88,2020,3
Tamaulipas,14.85,2020,4
Tamaulipas,15.18,2020,5
Tlaxcala,17.56,2017,1
Tlaxcala,17.6,2017,2
Tlaxcala,17.46,2017,3
Tlaxcala,17.45,2017,4
Tlaxcala,17.37,2017,5
Tlaxcala,17.24,2017,6
Tlaxcala,17.14,2017,7
Tlaxcala,17.21,2017,8
Tlaxcala,17.46,2017,9
Tlaxcala,17.55,2017,10
Tlaxcala,17.65,2017,11
Tlaxcala,17.72,2017,12
Tlaxcala,18.22,2018,1
Tlaxcala,18.78,2018,2
Tlaxcala,18.89,2018,3
Tlaxcala,18.94,2018,4
Tlaxcala,19.06,2018,5
Tlaxcala,19.28,2018,6
Tlaxcala,19.72,2018,7
Tlaxcala,20.31,2018,8
Tlaxcala,20.51,2018,9
Tlaxcala,20.72,2018,10
Tlaxcala,20.71,2018,11
Tlaxcala,20.28,2018,12
Tlaxcala,19.58,2019,1
Tlaxcala,19.42,2019,2
Tlaxcala,20.4,2019,3
Tlaxcala,20.6,2019,4
Tlaxcala,20.61,2019,5
Tlaxcala,20.57,2019,6
Tlaxcala,20.59,2019,7
Tlaxcala,20.65,2019,8
Tlaxcala,20.64,2019,9
Tlaxcala,20.61,2019,10
Tlaxcala,20.37,2019,11
Tlaxcala,20.33,2019,12
Tlaxcala,20.27,2020,1
Tlaxcala,19.85,2020,2
Tlaxcala,18.35,2020,3
Tlaxcala,15.36,2020,4
Tlaxcala,16.25,2020,5
Veracruz,17.29,2017,1
Veracruz,17.31,2017,2
Veracruz,17.2,2017,3
Veracruz,17.19,2017,4
Veracruz,17.12,2017,5
Veracruz,16.98,2017,6
Veracruz,16.88,2017,7
Veracruz,16.96,2017,8
Veracruz,17.21,2017,9
Veracruz,17.3,2017,10
Veracruz,17.41,2017,11
Veracruz,17.52,2017,12
Veracruz,18,2018,1
Veracruz,18.5,2018,2
Veracruz,18.65,2018,3
Veracruz,18.73,2018,4
Veracruz,18.87,2018,5
Veracruz,19.08,2018,6
Veracruz,19.42,2018,7
Veracruz,19.96,2018,8
Veracruz,20.19,2018,9
Veracruz,20.4,2018,10
Veracruz,20.38,2018,11
Veracruz,20.08,2018,12
Veracruz,19.57,2019,1
Veracruz,19.36,2019,2
Veracruz,20,2019,3
Veracruz,20.12,2019,4
Veracruz,20.1,2019,5
Veracruz,20.09,2019,6
Veracruz,20.16,2019,7
Veracruz,20.18,2019,8
Veracruz,20.18,2019,9
Veracruz,20.18,2019,10
Veracruz,20.07,2019,11
Veracruz,20.1,2019,12
Veracruz,20.12,2020,1
Veracruz,19.81,2020,2
Veracruz,18.32,2020,3
Veracruz,15.65,2020,4
Veracruz,16.34,2020,5
Yucatán,17.21,2017,1
Yucatán,17.18,2017,2
Yucatán,17.1,2017,3
Yucatán,17.09,2017,4
Yucatán,17.03,2017,5
Yucatán,16.9,2017,6
Yucatán,16.8,2017,7
Yucatán,16.87,2017,8
Yucatán,17.12,2017,9
Yucatán,17.21,2017,10
Yucatán,17.3,2017,11
Yucatán,17.43,2017,12
Yucatán,17.94,2018,1
Yucatán,18.45,2018,2
Yucatán,18.66,2018,3
Yucatán,18.76,2018,4
Yucatán,18.89,2018,5
Yucatán,19.12,2018,6
Yucatán,19.55,2018,7
Yucatán,20.24,2018,8
Yucatán,20.5,2018,9
Yucatán,20.64,2018,10
Yucatán,20.66,2018,11
Yucatán,20.29,2018,12
Yucatán,19.69,2019,1
Yucatán,19.88,2019,2
Yucatán,21.01,2019,3
Yucatán,20.6,2019,4
Yucatán,20.58,2019,5
Yucatán,20.65,2019,6
Yucatán,20.71,2019,7
Yucatán,20.79,2019,8
Yucatán,20.83,2019,9
Yucatán,20.82,2019,10
Yucatán,20.29,2019,11
Yucatán,20.32,2019,12
Yucatán,20.42,2020,1
Yucatán,19.84,2020,2
Yucatán,18.49,2020,3
Yucatán,16.27,2020,4
Yucatán,17.09,2020,5
Zacatecas,17.96,2017,1
Zacatecas,18.04,2017,2
Zacatecas,17.89,2017,3
Zacatecas,17.88,2017,4
Zacatecas,17.81,2017,5
Zacatecas,17.68,2017,6
Zacatecas,17.58,2017,7
Zacatecas,17.66,2017,8
Zacatecas,17.91,2017,9
Zacatecas,18,2017,10
Zacatecas,18.1,2017,11
Zacatecas,18.26,2017,12
Zacatecas,18.9,2018,1
Zacatecas,19.58,2018,2
Zacatecas,19.75,2018,3
Zacatecas,19.82,2018,4
Zacatecas,19.93,2018,5
Zacatecas,20.09,2018,6
Zacatecas,20.46,2018,7
Zacatecas,21,2018,8
Zacatecas,21.27,2018,9
Zacatecas,21.48,2018,10
Zacatecas,21.47,2018,11
Zacatecas,21.25,2018,12
Zacatecas,20.85,2019,1
Zacatecas,20.62,2019,2
Zacatecas,21.08,2019,3
Zacatecas,21.1,2019,4
Zacatecas,21.09,2019,5
Zacatecas,21.15,2019,6
Zacatecas,21.15,2019,7
Zacatecas,21.17,2019,8
Zacatecas,21.14,2019,9
Zacatecas,21.2,2019,10
Zacatecas,20.96,2019,11
Zacatecas,21,2019,12
Zacatecas,20.96,2020,1
Zacatecas,20.71,2020,2
Zacatecas,19.64,2020,3
Zacatecas,17.12,2020,4
Zacatecas,17.17,2020,5
